,id,Nodraft,Yesdraft,Player,Team,Conference,Games Played,Minutes Percentage,Offensive Rating,True Shooting Percentage,Assist Percentage,Turnover Percentage,Block Percentage,Free Throw Percentage,Points Over Replacement Per Adjusted Game,Adjusted Offensive Efficiency
3202,3202,1.0,0.0,Theo Hughes,Northern Colorado,BSky,7,3.3,20.2,0.0,0.0,59.4,0.0,0.0,-0.817603,19.282
3203,3203,1.0,0.0,JJ Platt,Jacksonville St.,OVC,7,0.8,45.1,20.62,0.0,18.9,0.0,0.333,-0.146858,47.5627
3204,3204,1.0,0.0,Wil Tattersall,UC Riverside,BW,22,51.7,107.7,57.43,10.1,15.8,0.7,0.625,1.1339,101.062
3205,3205,1.0,0.0,Desmond Polk,SIU Edwardsville,OVC,25,45.6,80.6,42.56,8.8,21.2,0.7,0.484,-0.84327,71.9325
3206,3206,1.0,0.0,Aidan Fisch,Pittsburgh,ACC,3,0.6,27.2,0.0,0.0,53.3,0.0,0.0,-0.337551,26.8896
3207,3207,1.0,0.0,Khalen Robinson,Arkansas,SEC,11,7.2,109.7,58.47,19.0,22.0,1.1,0.75,0.497859,102.41
3208,3208,1.0,0.0,Paris Dawson,Portland St.,BSky,18,57.4,97.1,48.61,10.4,15.6,0.0,0.667,0.5967,92.748
3209,3209,1.0,0.0,Keith Lamar,Stetson,ASun,16,9.6,79.0,29.95,9.7,15.9,1.2,0.4,-0.249372,72.8919
3210,3210,1.0,0.0,Kiimani Holt,Portland St.,BSky,5,2.1,95.7,50.85,0.0,17.8,0.0,1.0,0.0617229,91.185
3211,3211,1.0,0.0,GianCarlo Valdez,Stetson,ASun,22,29.0,96.9,49.82,21.4,24.6,0.8,0.727,0.12395,88.0842
3212,3212,1.0,0.0,Teiano Hardee,Sacramento St.,BSky,8,4.2,58.7,32.0,5.7,20.2,0.0,0.4,-0.383102,56.7644
3213,3213,0.998,0.002,LeChaun DuHart,Maine,AE,9,85.6,91.0,53.24,12.3,20.9,0.0,0.619,0.337703,88.0996
3214,3214,1.0,0.0,Matias Prock,Maine,AE,4,5.6,63.6,33.33,23.4,40.2,0.0,0.0,-0.456961,58.9179
3215,3215,0.984,0.016,Adefolalrin Adetogun,Maine,AE,8,40.8,82.1,38.67,22.3,16.4,4.1,0.8,-0.439025,78.3703
3216,3216,1.0,0.0,Kyle LeGreair,Detroit,Horz,2,0.6,0.0,0.0,0.0,58.5,0.0,0.0,-0.739923,-0.0379303
3217,3217,1.0,0.0,Jonathan Komagum,Sacramento St.,BSky,26,19.2,106.6,43.87,3.8,21.6,3.7,0.588,0.112846,88.9195
3218,3218,1.0,0.0,Te'Jon Sawyer,Cal Baptist,WAC,12,10.1,70.8,42.75,4.4,31.0,0.0,0.8,-0.477881,63.5697
3219,3219,0.998,0.002,Shamir Bogues,Tarleton St.,WAC,15,67.8,91.6,49.35,14.7,17.6,2.3,0.5,0.158574,86.94
3220,3220,0.964,0.036,Devon House,UMKC,Sum,6,3.5,118.9,61.59,0.0,7.9,9.7,0.875,0.703857,128.722
3221,3221,0.992,0.008,Steven Verplancken Jr.,Southern Illinois,MVC,25,65.4,96.1,52.1,8.6,13.5,0.0,0.727,0.436662,90.0628
3222,3222,0.998,0.002,Carlton Linguard Jr.,Kansas St.,B12,16,9.2,97.8,50.86,6.9,16.0,2.4,0.667,0.326858,99.888
3223,3223,0.994,0.006,Ben Carlson,Wisconsin,B10,7,5.1,137.4,67.57,12.0,7.1,5.1,0.875,1.2809,125.63
3224,3224,1.0,0.0,Jon Willeman,New Hampshire,AE,4,2.2,198.5,102.56,24.5,0.0,0.0,0.5,1.05834,161.505
